id;point_id;site;date;lon;lat;TD_cm;;;;
343;EKC-3;1;2018-07-25;22.260193;68.818576;35;;;;
344;EKA-8;1;2018-07-25;22.260492;68.817718;38;;;;
345;EKA-9;1;2018-07-25;22.260351;68.81779;38;;;;
346;EKA-10;1;2018-07-25;22.260005;68.817811;39;;;;
347;EKB-1;1;2018-07-25;22.257538;68.817869;45;;;;
348;EKB-2;1;2018-07-25;22.257706;68.817786;48;;;;
349;EKB-3;1;2018-07-25;22.25797;68.817825;45;;;;
350;EKB-4;1;2018-07-25;22.258342;68.817793;38;;;;
351;EKB-5;1;2018-07-25;22.258427;68.817886;44;;;;
352;EKB-6;1;2018-07-25;22.258582;68.81777;47;;;;
353;EKB-7;1;2018-07-25;22.258936;68.817892;34;;;;
354;EKB-8;1;2018-07-25;22.258672;68.817977;35;;;;
355;EKB-9;1;2018-07-25;22.259017;68.817987;38;;;;
356;EKB-10;1;2018-07-25;22.259368;68.818037;36;;;;
357;EKB-11;1;2018-07-25;22.25964;68.818123;34;;;;
358;EKA-1;1;2018-07-25;22.258632;68.817508;30;;;;
359;EKA-2;1;2018-07-25;22.258797;68.817496;50;;;;
360;EKA-3;1;2018-07-25;22.258992;68.817536;41;;;;
361;EKA-4;1;2018-07-25;22.259286;68.817577;42;;;;
362;EKA-5;1;2018-07-25;22.2596;68.817545;33;;;;
363;EKA-6;1;2018-07-25;22.259803;68.817591;50;;;;
364;EKA-7;1;2018-07-25;22.260124;68.817576;35;;;;
365;P63-10;1;2018-07-22;22.2616552;68.81489479;38;;;;
366;P63-11;1;2018-07-22;22.26239176;68.81502913;32;;;;
367;P63-12;1;2018-07-22;22.26319522;68.81512388;40;;;;
368;P63-13;1;2018-07-22;22.26348727;68.81522761;42;;;;
369;P63-14;1;2018-07-22;22.26381554;68.81536517;41;;;;
370;P63-15;1;2018-07-22;22.26425891;68.81538561;42;;;;
371;P63-16;1;2018-07-22;22.2641939;68.81519097;51;;;;
372;P63-17;1;2018-07-22;22.26379034;68.81513193;48;;;;
373;P63-18;1;2018-07-22;22.263291;68.8150707;37;;;;
374;P64-1;1;2018-07-22;22.26240218;68.81487806;39;;;;
375;P64-2;1;2018-07-22;22.26248605;68.81483477;60;;;;
376;P63-1A;1;2018-07-22;22.26170035;68.81451662;43;;;;
377;P63-2B;1;2018-07-22;22.26206296;68.8144952;41;;;;
378;P63-3C;1;2018-07-22;22.26187515;68.8144654;42;;;;
379;P63-4;1;2018-07-22;22.26172766;68.81438069;51;;;;
380;P63-5;1;2018-07-22;22.26173441;68.81426901;57;;;;
381;P63-6;1;2018-07-22;22.26126525;68.81447501;61;;;;
382;P63-7;1;2018-07-22;22.2608818;68.8144587;41;;;;
383;P63-8;1;2018-07-22;22.2607629;68.81439717;30;;;;
384;P63-9;1;2018-07-22;22.26167643;68.81464205;42;;;;
385;P64-3;1;2018-07-22;22.26277566;68.81480364;47;;;;
386;P64-4;1;2018-07-22;22.26305766;68.81477353;48;;;;
387;EK01;1;2018-07-23;22.26028405;68.81384098;35;;;;
388;EK02;1;2018-07-23;22.26044324;68.81381588;50;;;;
389;EK03;1;2018-07-23;22.26091206;68.81379413;30;;;;
390;P59-1;1;2018-07-23;22.2615524;68.81369128;50;;;;
391;P59-2;1;2018-07-23;22.26165063;68.81369486;48;;;;
392;P59-3;1;2018-07-23;22.26177695;68.81371531;62;;;;
393;P59-4;1;2018-07-23;22.26188481;68.81373957;55;;;;
394;P59-5;1;2018-07-23;22.26201491;68.81373413;50;;;;
395;EK06;1;2018-07-23;22.26078061;68.81352399;90;;;;
396;P61-1;1;2018-07-23;22.26068678;68.81334967;60;;;;
397;P61-2;1;2018-07-23;22.26079425;68.8133276;40;;;;
398;P60-1;1;2018-07-23;22.26140308;68.81320108;51;;;;
399;P60-2;1;2018-07-23;22.26155725;68.81314065;60;;;;
400;P60-3;1;2018-07-23;22.26168164;68.81307314;51;;;;
401;P60-4;1;2018-07-23;22.26187876;68.81311792;43;;;;
402;P60-5;1;2018-07-23;22.26202894;68.81314252;60;;;;
403;P57-1;1;2018-07-23;22.25926874;68.81166205;60;;;;
404;P57-2;1;2018-07-23;22.25920002;68.81161735;75;;;;
405;P57-3;1;2018-07-23;22.25925294;68.81158999;47;;;;
406;P56-1;1;2018-07-23;22.25851765;68.81139061;40;;;;
407;P56-2;1;2018-07-23;22.25843838;68.8114431;40;;;;
408;P56-3;1;2018-07-23;22.25842584;68.81150563;45;;;;
409;P56-4;1;2018-07-23;22.25848336;68.81154243;38;;;;
